fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,hr
2023-03-01,Archena,9.9,25.5,17.7,2.7,33.5,3.4,2.4(01),44
2023-04-01,Archena,12.3,28.2,20.3,5.7,35.0,6.0,5.4(30),43
2023-05-01,Archena,14.4,27.0,20.7,10.5,34.2,91.2,27.8(22),60
2023-06-01,Archena,19.0,32.2,25.6,14.1,38.7,15.6,6.4(07),55
2023-07-01,Archena,23.8,37.3,30.6,21.0,43.9,6.0,5.0(20),55
2023-08-01,Archena,22.2,37.3,29.8,18.5,44.2,13.8,13.6(26),50
2023-09-01,Archena,19.2,30.8,25.0,15.0,33.9,39.6,15.2(15),65
2023-10-01,Archena,15.5,28.3,21.9,10.1,34.2,2.4,2.2(19),58
2023-11-01,Archena,12.0,24.1,18.0,7.8,30.0,0.2,0.2(02),50
2023-12-01,Archena,8.2,19.4,13.9,2.2,29.5,1.2,0.6(05),50
2024-01-01,Archena,9.2,19.4,14.3,3.8,27.5,9.0,8.4(09),56
2024-02-01,Archena,9.2,21.1,15.2,5.1,27.2,10.0,4.0(09),51
2024-03-01,Archena,10.1,22.6,16.4,2.8,32.1,6.6,2.0(31),51
2024-04-01,Archena,11.1,25.6,18.4,7.1,32.6,5.4,5.2(29),49
2024-05-01,Archena,14.4,29.0,21.7,8.5,36.5,5.2,4.4(06),44
2024-06-01,Archena,18.7,31.6,25.2,14.6,37.1,59.4,43.6(12),51
2024-07-01,Archena,22.0,37.0,29.5,18.8,42.6,0.0,0.0(--),48
2024-08-01,Archena,22.3,36.0,29.2,19.0,39.4,4.4,4.4(14),55
2024-09-01,Archena,19.3,31.4,25.3,14.0,36.1,21.2,9.8(20),58
2024-10-01,Archena,16.1,26.9,21.5,10.1,35.1,61.2,49.2(28),59
2024-11-01,Archena,13.3,22.8,18.1,10.2,26.1,7.2,4.0(13),68
2024-12-01,Archena,8.3,18.2,13.3,3.6,25.3,6.4,3.6(31),56
