fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,hr,w_med,w_racha,w_rec
2023-10-01,Totana,16.1,28.4,22.3,12.2,34.4,3.6,3.6(19),56.0,7.0,26/17.8(30),177
2023-11-01,Totana,12.0,24.2,18.1,6.6,29.4,0.0,0.0(--),50.0,8.0,26/22.5(02),181
2023-12-01,Totana,7.7,19.6,13.7,2.6,29.6,0.8,0.6(07),53.0,6.0,26/15.0(01),138
2024-01-01,Totana,9.5,19.8,14.7,4.0,27.9,5.4,2.6(09),56.0,8.0,22/20.8(17),184
2024-02-01,Totana,9.4,21.2,15.4,4.8,27.6,2.6,0.8(26),50.0,9.0,27/21.7(10),208
2024-03-01,Totana,10.2,22.3,16.3,5.8,30.9,14.8,7.0(25),50.0,11.0,24/20.0(27),255
2024-04-01,Totana,11.7,24.9,18.3,8.8,34.4,16.6,6.0(22),50.0,8.0,25/15.0(08),172
2024-05-01,Totana,14.7,28.0,21.4,9.4,34.7,6.0,3.4(06),44.0,8.0,24/13.1(01),168
2024-06-01,Totana,18.7,31.1,24.9,15.2,36.4,34.2,22.0(12),50.0,9.0,04/15.0(10),185
2024-07-01,Totana,22.3,36.6,29.4,19.3,40.4,0.0,0.0(--),48.0,8.0,04/12.8(01),172
2024-08-01,Totana,22.8,35.9,29.4,19.6,42.6,47.2,46.8(14),55.0,8.0,11/12.5(14),169
2024-09-01,Totana,19.3,30.8,25.1,14.8,36.0,16.4,10.4(19),60.0,7.0,10/13.1(04),168
2024-10-01,Totana,16.3,27.2,21.8,8.7,33.8,43.0,30.0(28),60.0,8.0,06/18.9(29),197
2024-11-01,Totana,13.3,22.5,17.9,10.0,25.3,48.6,35.0(03),73.0,6.0,24/12.5(21),163
2024-12-01,Totana,8.0,18.8,13.4,3.2,25.9,7.8,5.0(30),58.0,6.0,28/14.2(09),149
2025-01-01,Totana,7.9,19.0,13.5,0.8,25.9,1.2,0.6(20),52.0,9.0,23/24.2(28),212
2025-02-01,Totana,7.7,20.0,13.9,3.3,24.5,6.8,5.4(22),63.0,6.0,06/11.9(01),152
2025-03-01,Totana,9.9,18.5,14.3,7.6,25.9,245.2,111.0(02),68.0,12.0,02/14.7(02),259
2025-04-01,Totana,12.4,23.7,18.1,9.0,30.3,16.0,8.6(11),56.0,11.0,26/17.2(19),237
2025-05-01,Totana,15.0,28.0,21.5,12.0,35.5,30.4,9.2(22),54.0,8.0,04/12.8(14),163
2025-06-01,Totana,21.0,35.2,28.1,17.2,39.2,1.8,1.8(17),44.0,7.0,28/14.2(17),155
2025-07-01,Totana,,,,,,,,,,,
2025-08-01,Totana,,,,,,,,,,,
2025-09-01,Totana,,,,,,,,,,,
2025-10-01,Totana,,,,,,,,,,,
2025-11-01,Totana,,,,,,,,,,,
2025-12-01,Totana,,,,,,,,,,,
