fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,q_min,q_max,q_med,q_mar,hr,inso,p_sol,w_med,w_racha,w_rec
2018-02-01,Yecla,1.7,12.2,7.0,-5.7,19.2,28.4,12.0(01),922.6,950.6,938.6,1013.9,57.0,6.3,58.0,12.0,29/24.2(14),299
2018-03-01,Yecla,5.3,15.6,10.5,-0.2,24.2,31.6,8.6(19),916.7,950.3,935.1,1009.2,53.0,6.8,57.0,18.0,27/34.2(24),435
2018-04-01,Yecla,7.1,19.6,13.4,2.4,27.2,33.4,15.8(07),922.6,951.3,939.9,1013.3,52.0,8.0,61.0,15.0,27/20.0(11),324
2018-05-01,Yecla,9.1,23.4,16.3,4.3,27.3,38.4,20.0(21),935.3,946.2,941.1,1013.5,50.0,9.0,63.0,11.0,30/18.9(03),229
2018-06-01,Yecla,13.9,28.5,21.2,10.0,34.0,34.4,33.6(02),935.6,949.4,942.4,1013.5,42.0,10.5,71.0,10.0,26/14.7(02),228
2018-07-01,Yecla,16.9,34.4,25.7,13.7,38.0,0.0,0.0(--),936.7,948.0,942.8,1012.8,33.0,12.4,85.0,11.0,28/18.6(05),232
2018-08-01,Yecla,17.5,33.0,25.2,12.2,37.4,36.4,24.4(23),939.3,950.9,944.5,1015.0,50.0,9.3,69.0,9.0,26/17.2(08),191
2018-09-01,Yecla,15.6,28.6,22.1,8.1,32.9,57.4,28.9(09),938.8,956.1,946.5,1018.1,63.0,8.2,66.0,8.0,11/13.9(07),183
2018-10-01,Yecla,,,,,,,,,,,,,,,,,
2018-11-01,Yecla,5.9,15.7,10.8,-1.8,21.9,34.8,9.2(08),926.8,950.8,941.7,1016.1,69.0,4.8,47.0,12.0,28/23.9(26),271
2018-12-01,Yecla,2.3,17.0,9.7,-4.0,24.8,5.8,5.4(13),931.8,958.3,950.8,1026.4,61.0,7.4,77.0,9.0,27/27.8(13),234
2019-01-01,Yecla,0.4,14.2,7.3,-7.9,19.3,1.2,0.6(31),927.8,957.3,944.5,1020.1,52.0,7.4,76.0,14.0,26/23.9(23),315
2019-02-01,Yecla,0.9,17.2,9.1,-4.8,25.1,3.6,3.6(01),922.2,958.5,949.7,1025.2,50.0,8.9,83.0,10.0,27/24.4(02),238
2019-03-01,Yecla,3.0,19.1,11.1,-3.2,25.7,16.0,11.8(31),933.0,957.0,947.9,1022.6,46.0,8.9,74.0,12.0,28/18.1(07),256
2019-04-01,Yecla,6.9,18.0,12.5,2.2,25.3,155.6,83.8(19),926.2,952.2,939.2,1012.8,58.0,7.4,56.0,14.0,05/25.6(20),315
2019-05-01,Yecla,9.8,25.1,17.5,4.3,32.3,20.2,14.0(21),931.4,951.8,941.8,1014.0,46.0,10.3,72.0,11.0,27/21.7(17),232
2019-06-01,Yecla,12.6,30.2,21.4,8.5,37.1,0.0,0.0(--),934.9,949.7,942.5,1013.5,36.0,11.4,77.0,12.0,29/15.8(05),240
2019-07-01,Yecla,17.4,34.0,25.7,14.1,38.8,1.6,1.0(08),934.3,950.0,942.1,1012.2,35.0,,,12.0,25/17.5(27),243
2019-08-01,Yecla,16.8,33.7,25.3,12.1,39.4,20.4,7.4(20),938.2,948.6,943.8,1014.2,45.0,,,9.0,06/15.8(20),204
2019-09-01,Yecla,,,,,,49.6,24.0(11),937.3,954.2,944.8,1016.4,,,,9.0,27/15.3(10),204
2019-10-01,Yecla,10.5,24.0,17.3,4.2,30.8,21.2,,933.5,949.9,943.9,1016.7,57.0,8.3,74.0,9.0,99/16.9(02),231
2019-11-01,Yecla,7.1,15.2,11.2,-0.6,23.2,25.4,11.2(17),921.9,948.8,938.4,1012.6,60.0,6.8,67.0,19.0,29/24.4(24),431
2019-12-01,Yecla,4.9,15.1,10.0,-1.7,21.6,23.8,9.0(20),928.0,958.6,945.2,1020.2,68.0,5.7,60.0,13.0,27/24.7(14),310
2020-01-01,Yecla,1.4,13.6,7.6,-4.5,17.5,24.8,22.2(19),937.6,958.1,950.4,1026.5,68.0,6.0,62.0,9.0,26/21.1(31),214
2020-02-01,Yecla,4.5,19.0,11.7,-1.3,24.4,0.6,0.4(18),939.5,959.8,951.1,1025.9,58.0,7.8,72.0,10.0,27/19.4(01),239
2020-03-01,Yecla,6.3,16.1,11.2,0.2,28.6,134.0,42.0(23),930.9,952.4,942.8,1017.2,64.0,5.5,46.0,14.0,29/25.6(02),315
2020-04-01,Yecla,7.6,19.0,13.3,1.8,22.8,51.0,15.8(13),932.7,952.1,941.9,1015.5,63.0,6.6,50.0,9.0,99/18.6(20),225
2020-05-01,Yecla,10.9,26.0,18.4,5.8,32.8,41.0,11.8(13),930.9,954.2,943.8,1015.8,49.0,10.1,70.0,12.0,28/18.1(01),231
2020-06-01,Yecla,13.3,30.1,21.7,9.1,35.9,18.6,14.2(17),932.0,949.6,942.0,1012.9,38.0,11.2,76.0,11.0,26/16.1(04),228
2020-07-01,Yecla,17.1,34.2,25.7,14.5,40.7,13.6,7.2(24),939.3,949.5,943.9,1014.1,41.0,11.6,80.0,10.0,24/15.6(02),212
2020-08-01,Yecla,17.3,34.6,26.0,10.7,41.3,4.0,3.4(12),931.6,948.4,942.3,1012.3,37.0,11.0,81.0,10.0,28/15.6(29),204
2020-09-01,Yecla,13.1,28.0,20.6,8.5,31.9,19.6,11.8(02),937.9,952.4,944.9,1016.8,51.0,9.3,75.0,10.0,26/20.0(27),210
2020-10-01,Yecla,7.9,22.6,15.3,0.6,29.3,14.8,11.0(02),922.6,953.4,944.4,1017.7,50.0,8.5,76.0,11.0,24/21.4(02),247
2020-11-01,Yecla,6.0,19.0,12.5,-1.6,27.8,22.8,10.6(27),930.5,956.8,947.6,1022.1,69.0,6.5,64.0,8.0,05/13.6(05),180
2020-12-01,Yecla,2.6,13.9,8.3,-5.9,19.5,15.0,5.0(07),922.6,954.7,941.2,1016.4,60.0,6.8,72.0,15.0,26/21.4(08),340
2021-01-01,Yecla,1.4,11.9,6.7,-6.8,24.3,36.2,11.4(07),928.9,953.7,942.4,1018.0,61.0,6.3,64.0,15.0,27/23.9(22),350
2021-02-01,Yecla,4.6,16.6,10.6,-2.0,22.9,1.6,0.6(22),928.5,960.6,944.5,1019.2,60.0,6.3,59.0,12.0,25/22.5(10),287
2021-03-01,Yecla,3.7,16.3,10.0,-1.4,23.8,36.4,14.6(18),934.4,955.2,947.0,1021.9,62.0,7.4,61.0,12.0,30/15.3(22),247
2021-04-01,Yecla,7.0,18.2,12.6,0.7,24.5,82.6,15.0(30),931.7,950.5,941.3,1015.1,65.0,5.7,43.0,10.0,05/18.3(16),215
2021-05-01,Yecla,11.0,25.0,18.0,5.9,31.8,34.6,32.8(23),932.3,950.7,943.3,1015.5,47.0,10.0,70.0,12.0,29/17.2(16),264
2021-06-01,Yecla,14.5,29.2,21.9,12.2,34.2,69.4,54.8(05),937.2,950.4,943.8,,,10.4,70.0,10.0,22/19.7(17),210
2021-07-01,Yecla,16.8,35.2,26.0,12.9,40.2,6.8,6.8(26),936.4,950.5,942.7,1012.6,35.0,12.0,82.0,11.0,25/17.5(26),217
