Fecha medida,Código,Nivel medio diario (m)
2015-01-22,EA-021-PR,0.110
2015-01-22,EA-062-TOT,
2015-01-22,EA-063-PR,0.080
2015-01-22,EA-112-TOT,
2015-01-22,EA-117-TOT,
2015-01-22,EA-430B,
2015-01-23,EA-001,0.480
2015-01-23,EA-007,
2015-01-23,EA-013-TOT,
2015-01-23,EA-021-PR,0.120
2015-01-23,EA-062-TOT,
2015-01-23,EA-063-PR,0.080
2015-01-23,EA-112-TOT,
2015-01-23,EA-117-TOT,
2015-01-23,EA-430B,
2015-01-24,EA-001,0.470
2015-01-24,EA-007,
2015-01-24,EA-013-TOT,
2015-01-24,EA-021-PR,0.100
2015-01-24,EA-062-TOT,
2015-01-24,EA-063-PR,0.050
2015-01-24,EA-112-TOT,
2015-01-24,EA-117-TOT,
2015-01-24,EA-430B,
2015-01-25,EA-001,0.480
2015-01-25,EA-007,
2015-01-25,EA-013-TOT,
2015-01-25,EA-021-PR,0.040
2015-01-25,EA-062-TOT,
2015-01-25,EA-063-PR,0.020
2015-01-25,EA-112-TOT,
2015-01-25,EA-117-TOT,
2015-01-25,EA-430B,
2015-01-26,EA-001,0.480
2015-01-26,EA-007,
2015-01-26,EA-013-TOT,
2015-01-26,EA-021-PR,0.070
2015-01-26,EA-062-TOT,
2015-01-26,EA-063-PR,0.090
2015-01-26,EA-112-TOT,
2015-01-26,EA-117-TOT,
2015-01-26,EA-430B,
2015-01-27,EA-001,0.480
2015-01-27,EA-007,
2015-01-27,EA-013-TOT,
2015-01-27,EA-021-PR,0.090
2015-01-27,EA-062-TOT,
2015-01-27,EA-063-PR,0.140
2015-01-27,EA-112-TOT,
2015-01-27,EA-117-TOT,
2015-01-27,EA-430B,
2015-01-28,EA-001,0.350
2015-01-28,EA-007,
2015-01-28,EA-013-TOT,
2015-01-28,EA-021-PR,0.110
2015-01-28,EA-062-TOT,
2015-01-28,EA-063-PR,0.130
2015-01-28,EA-112-TOT,
2015-01-28,EA-117-TOT,
2015-01-28,EA-430B,
2015-01-29,EA-001,0.380
2015-01-29,EA-007,
2015-01-29,EA-013-TOT,
2015-01-29,EA-021-PR,0.130
2015-01-29,EA-062-TOT,
2015-01-29,EA-063-PR,0.170
2015-01-29,EA-112-TOT,
2015-01-29,EA-117-TOT,
2015-01-29,EA-430B,
2015-01-30,EA-001,0.470
2015-01-30,EA-007,
2015-01-30,EA-013-TOT,
2015-01-30,EA-021-PR,0.110
2015-01-30,EA-062-TOT,
2015-01-30,EA-063-PR,0.180
2015-01-30,EA-112-TOT,
2015-01-30,EA-117-TOT,
2015-01-30,EA-430B,
2015-01-31,EA-112-TOT,
2015-01-31,EA-117-TOT,
2015-01-31,EA-430B,
2015-01-31,EA-001,0.480
2015-01-31,EA-007,
2015-01-31,EA-013-TOT,
2015-01-31,EA-021-PR,0.120
2015-01-31,EA-062-TOT,
2015-01-31,EA-063-PR,0.200
2015-02-01,EA-001,0.480
2015-02-01,EA-007,
2015-02-01,EA-013-TOT,
2015-02-01,EA-021-PR,0.130
2015-02-01,EA-062-TOT,
2015-02-01,EA-063-PR,0.130
2015-02-01,EA-112-TOT,
2015-02-01,EA-117-TOT,
2015-02-01,EA-430B,
2015-02-02,EA-001,0.480
2015-02-02,EA-007,
2015-02-02,EA-013-TOT,
2015-02-02,EA-021-PR,0.090
2015-02-02,EA-062-TOT,
2015-02-02,EA-063-PR,0.050
2015-02-02,EA-112-TOT,
2015-02-02,EA-117-TOT,
2015-02-02,EA-430B,
2015-02-03,EA-001,0.480
2015-02-03,EA-007,
2015-02-03,EA-013-TOT,
2015-02-03,EA-021-PR,0.060
2015-02-03,EA-062-TOT,
2015-02-03,EA-063-PR,0.000
2015-02-03,EA-112-TOT,
2015-02-03,EA-117-TOT,
2015-02-03,EA-430B,
2015-02-04,EA-001,0.480
2015-02-04,EA-007,
2015-02-04,EA-013-TOT,
2015-02-04,EA-021-PR,0.100
2015-02-04,EA-062-TOT,
2015-02-04,EA-063-PR,0.060
2015-02-04,EA-112-TOT,
2015-02-04,EA-117-TOT,
2015-02-04,EA-430B,
2015-02-05,EA-001,0.480
2015-02-05,EA-007,
2015-02-05,EA-013-TOT,
2015-02-05,EA-021-PR,0.100
2015-02-05,EA-062-TOT,
2015-02-05,EA-063-PR,0.040
2015-02-05,EA-112-TOT,
2015-02-05,EA-117-TOT,
2015-02-05,EA-430B,
2015-02-06,EA-001,0.480
2015-02-06,EA-007,
