fec_medida,codigo,evapor_diaria_m3,desague_diario_m3,altura_diaria_m,superf_diaria_m2,aport_diaria_m3,volumen_diario_m3
2015-01-16,EB-009,75385.0,246240.0,72.0,13706362.0,726943.0,306960435.0
2015-01-16,EB-010,5571.0,1401408.0,25.0,1741061.0,1248249.0,13076476.0
2015-01-17,EB-004,5462.0,1252800.0,33.0,2600738.0,1464092.0,25600482.0
2015-01-17,EB-006,3364.0,648000.0,53.0,5607199.0,318709.0,106571407.0
2015-01-17,EB-009,38423.0,172800.0,72.0,13722638.0,759786.0,307508998.0
2015-01-17,EB-010,4849.0,1378080.0,25.0,1731752.0,1259472.0,12953019.0
2015-01-18,EB-004,7820.0,1252800.0,33.0,2605866.0,1382226.0,25729126.0
2015-01-18,EB-006,13998.0,648000.0,53.0,5599364.0,440228.0,106349637.0
2015-01-18,EB-009,5497.0,172800.0,72.0,13742983.0,874173.0,308204874.0
2015-01-18,EB-010,1033.0,1377216.0,25.0,1722443.0,1254792.0,12829562.0
2015-01-19,EB-004,2859.0,1414800.0,33.0,2598687.0,1237558.0,25549025.0
2015-01-19,EB-006,2794.0,648000.0,53.0,5587612.0,318139.0,106016982.0
2015-01-19,EB-009,0.0,172800.0,72.0,13759259.0,729501.0,308761575.0
2015-01-19,EB-010,1561.0,1257120.0,25.0,1734412.0,1417411.0,12988292.0
2015-01-20,EB-004,467.0,1425600.0,33.0,2594585.0,1327354.0,25446109.0
2015-01-20,EB-006,14507.0,648000.0,53.0,5579778.0,440738.0,105795213.0
2015-01-20,EB-009,27551.0,172800.0,72.0,13775535.0,757052.0,309318276.0
2015-01-20,EB-010,2451.0,1214784.0,25.0,1750370.0,1428876.0,13199933.0
2015-01-21,EB-004,5451.0,1425600.0,33.0,2595610.0,1456780.0,25471838.0
2015-01-21,EB-006,10033.0,561600.0,53.0,5573902.0,405305.0,105628885.0
2015-01-21,EB-009,53772.0,172800.0,72.0,13787742.0,644098.0,309735802.0
2015-01-21,EB-010,30.0,1232064.0,26.0,1764999.0,1429067.0,13393936.0
2015-01-22,EB-004,7533.0,1425600.0,33.0,2597661.0,1484591.0,25523296.0
2015-01-22,EB-006,19468.0,648000.0,53.0,5562150.0,334814.0,105296231.0
2015-01-22,EB-009,64879.0,172800.0,72.0,13804018.0,794380.0,310292503.0
2015-01-22,EB-010,3912.0,1250122.0,26.0,1778298.0,1430401.0,13570303.0
2015-01-23,EB-004,984.0,1425600.0,33.0,2589457.0,1229609.0,25317465.0
2015-01-23,EB-006,16657.0,648000.0,53.0,5552356.0,387444.0,105019018.0
2015-01-23,EB-009,9536.0,172800.0,72.0,13820294.0,824862.0,310849205.0
2015-01-23,EB-010,6275.0,1232928.0,26.0,1792926.0,1433207.0,13764307.0
