"Fec. medida","Código","Evapor. diaria (m³)","Desagüe diario (m³)","Altura diaria (m)","Superf. diaria (m2)","Aport. diaria (m³)","Volumen diario (m³)"
"23/12/2015","EB-004","1.380","354.240","30","2.300.684","106.472","18.563.450"
"23/12/2015","EB-006","1.265","561.600","45","4.217.220","308.882","65.630.119"
"23/12/2015","EB-009","5.610","233.280","60","9.350.690","615.360","173.789.693"
"23/12/2015","EB-010","478","404.352","30","2.391.822","357.146","21.843.765"
"24/12/2015","EB-004","1.835","362.880","30","2.293.897","229.403","18.428.138"
"24/12/2015","EB-006","7.572","604.800","45","4.206.672","273.728","65.291.475"
"24/12/2015","EB-009","7.493","216.000","60","9.366.055","694.081","174.260.281"
"24/12/2015","EB-010","2.628","412.992","30","2.389.288","367.935","21.796.080"
"25/12/2015","EB-004","2.562","367.200","30","2.329.317","1.132.263","19.190.639"
"25/12/2015","EB-006","4.197","648.000","45","4.197.443","355.884","64.995.162"
"25/12/2015","EB-009","10.323","216.000","60","9.384.493","791.028","174.824.986"
"25/12/2015","EB-010","2.147","440.640","30","2.385.487","371.261","21.724.554"
"26/12/2015","EB-004","1.651","358.560","30","2.358.867","1.045.412","19.875.840"
"26/12/2015","EB-006","2.093","622.080","45","4.185.577","243.198","64.614.187"
"26/12/2015","EB-009","6.582","216.000","60","9.402.931","787.288","175.389.692"
"26/12/2015","EB-010","2.620","432.000","29","2.381.687","363.093","21.653.027"
"27/12/2015","EB-004","2.630","371.520","31","2.390.455","1.106.605","20.608.295"
"27/12/2015","EB-006","3.340","604.800","45","4.175.030","269.496","64.275.543"
"27/12/2015","EB-009","10.360","207.360","61","9.418.296","688.308","175.860.280"
"27/12/2015","EB-010","2.617","422.496","29","2.379.153","377.429","21.605.343"
"28/12/2015","EB-004","2.417","388.800","31","2.417.127","1.008.681","21.225.759"
"28/12/2015","EB-006","4.579","613.440","45","4.162.773","239.880","63.897.404"
"28/12/2015","EB-009","9.434","216.000","61","9.433.661","696.021","176.330.867"
"28/12/2015","EB-010","2.139","438.912","29","2.376.619","393.366","21.557.658"
"29/12/2015","EB-004","3.914","382.752","31","2.446.256","1.052.928","21.892.021"
"29/12/2015","EB-006","3.737","552.960","45","4.152.177","270.305","63.611.012"
"29/12/2015","EB-009","15.114","224.640","61","9.445.953","616.225","176.707.338"
"29/12/2015","EB-010","2.611","432.864","29","2.374.085","387.791","21.509.974"
"30/12/2015","EB-004","5.693","380.160","32","2.475.384","1.052.115","22.558.283"
"30/12/2015","EB-006","10.768","613.440","44","4.141.580","337.816","63.324.620"
"30/12/2015","EB-009","21.761","224.640","61","9.461.318","716.989","177.177.926"
"30/12/2015","EB-010","2.607","453.600","29","2.370.284","384.680","21.438.447"
"31/12/2015","EB-004","4.711","380.160","32","2.479.699","483.576","22.656.988"
"31/12/2015","EB-006","4.542","552.960","44","4.129.469","230.197","62.997.315"
"31/12/2015","EB-009","18.000","224.640","61","9.473.610","619.110","177.554.396"
"31/12/2015","EB-010","2.841","431.136","29","2.367.751","386.293","21.390.763"
"01/01/2016","EB-004","3.458","388.800","32","2.469.990","170.171","22.434.901"
"01/01/2016","EB-006","11.945","708.480","44","4.118.872","434.034","62.710.924"
"01/01/2016","EB-009","13.289","216.000","61","9.492.048","793.994","178.119.101"
"01/01/2016","EB-010","3.075","438.912","29","2.365.217","394.302","21.343.078"
"02/01/2016","EB-004","6.643","388.800","31","2.460.280","173.355","22.212.813"
"02/01/2016","EB-006","12.316","561.600","44","4.105.248","205.698","62.342.706"
"02/01/2016","EB-009","25.653","362.880","61","9.501.267","670.886","178.401.454"
"02/01/2016","EB-010","4.959","462.240","29","2.361.416","395.673","21.271.552"
"03/01/2016","EB-004","9.553","388.800","31","2.449.492","151.590","21.966.050"
"03/01/2016","EB-006","17.587","552.960","44","4.090.110","161.416","61.933.575"
"03/01/2016","EB-009","37.079","414.720","61","9.507.413","640.034","178.589.689"
"03/01/2016","EB-010","7.780","462.240","29","2.357.615","398.493","21.200.025"
"04/01/2016","EB-004","14.889","389.664","31","2.440.862","207.142","21.768.639"
"04/01/2016","EB-006","16.312","691.200","44","4.077.999","380.207","61.606.270"
"04/01/2016","EB-009","58.070","388.800","61","9.519.705","823.340","178.966.159"
"04/01/2016","EB-010","12.960","414.720","29","2.356.348","403.838","21.176.183"
"05/01/2016","EB-004","13.134","382.752","31","2.432.231","198.475","21.571.228"
"05/01/2016","EB-006","14.648","475.200","44","4.068.916","244.369","61.360.791"
"05/01/2016","EB-009","51.423","406.080","61","9.522.778","551.621","179.060.277"
"05/01/2016","EB-010","7.061","432.000","29","2.353.815","391.376","21.128.498"
"06/01/2016","EB-004","10.184","362.880","31","2.424.679","200.330","21.398.494"
"06/01/2016","EB-006","18.661","552.960","44","4.056.805","244.316","61.033.486"
"06/01/2016","EB-009","40.021","406.080","61","9.528.924","634.336","179.248.512"
"06/01/2016","EB-010","6.110","436.320","29","2.350.014","370.904","21.056.972"
"07/01/2016","EB-004","10.398","388.800","31","2.418.206","251.139","21.250.435"
"07/01/2016","EB-006","16.589","604.800","44","4.046.208","334.997","60.747.094"
"07/01/2016","EB-009","41.014","388.800","61","9.538.143","712.167","179.530.865"
"07/01/2016","EB-010","13.615","438.048","29","2.347.480","403.978","21.009.287"
"08/01/2016","EB-004","6.762","388.800","31","2.414.970","321.533","21.176.406"
"08/01/2016","EB-006","18.174","604.800","44","4.038.639","418.409","60.542.529"
"08/01/2016","EB-009","26.698","810.000","61","9.535.070","742.580","179.436.747"
"08/01/2016","EB-010","5.862","438.048","29","2.344.946","396.226","20.961.603"
"09/01/2016","EB-004","10.594","388.800","31","2.407.777","232.952","21.009.964"
"09/01/2016","EB-006","14.517","604.800","44","4.032.584","455.664","60.378.876"
"09/01/2016","EB-009","41.927","907.200","61","9.528.924","760.892","179.248.512"
"09/01/2016","EB-010","8.667","438.048","29","2.342.412","399.031","20.913.919"
"10/01/2016","EB-004","8.642","388.800","31","2.400.645","232.049","20.844.571"
"10/01/2016","EB-006","22.088","604.800","44","4.015.932","176.844","59.928.832"
"10/01/2016","EB-009","34.304","691.200","61","9.528.924","725.504","179.248.512"
"10/01/2016","EB-010","7.722","438.048","29","2.339.879","398.085","20.866.234"
"11/01/2016","EB-004","6.223","388.800","31","2.393.512","229.630","20.679.178"
"11/01/2016","EB-006","18.831","604.800","44","4.006.674","385.900","59.691.101"
"11/01/2016","EB-009","24.791","561.600","61","9.535.070","774.626","179.436.747"
"11/01/2016","EB-010","5.142","438.048","29","2.337.345","395.506","20.818.550"
"12/01/2016","EB-004","6.210","388.800","31","2.388.417","276.872","20.561.040"
"12/01/2016","EB-006","8.001","604.800","44","4.000.478","455.347","59.533.647"
"12/01/2016","EB-009","24.799","561.600","61","9.538.143","680.517","179.530.865"
"12/01/2016","EB-010","4.903","438.048","29","2.334.811","395.266","20.770.865"
"13/01/2016","EB-004","3.572","388.800","31","2.381.284","226.979","20.395.647"
"13/01/2016","EB-006","7.187","604.800","44","3.992.734","415.169","59.336.829"
"13/01/2016","EB-009","14.316","475.200","61","9.544.289","677.751","179.719.100"
"13/01/2016","EB-010","2.567","414.720","29","2.333.544","393.445","20.747.023"
"14/01/2016","EB-004","2.848","388.800","31","2.373.133","202.627","20.206.626"
"14/01/2016","EB-006","12.732","604.800","43","3.978.795","263.260","58.982.557"
"14/01/2016","EB-009","11.468","388.800","61","9.556.581","776.738","180.095.570"
"14/01/2016","EB-010","699","462.240","29","2.329.743","391.412","20.675.496"
"15/01/2016","EB-004","9.227","388.800","31","2.366.000","232.634","20.041.233"
"15/01/2016","EB-006","9.523","604.800","43","3.967.953","338.778","58.707.012"
"15/01/2016","EB-009","37.319","276.480","61","9.568.986","693.399","180.475.170"
"15/01/2016","EB-010","5.335","580.608","29","2.319.525","396.514","20.486.067"
"16/01/2016","EB-004","8.964","388.800","30","2.358.867","232.371","19.875.840"
"16/01/2016","EB-006","6.341","648.000","43","3.963.306","536.250","58.588.921"
"16/01/2016","EB-009","36.447","129.600","61","9.591.288","846.775","181.155.898"
"16/01/2016","EB-010","5.525","682.560","29","2.301.982","395.143","20.193.125"
"17/01/2016","EB-004","5.879","388.800","30","2.351.734","229.285","19.710.446"
"17/01/2016","EB-006","10.676","587.520","43","3.954.013","362.014","58.352.739"
"17/01/2016","EB-009","24.018","146.880","61","9.607.218","657.133","181.642.133"
"17/01/2016","EB-010","3.427","683.424","29","2.284.438","393.909","19.900.183"
"18/01/2016","EB-004","14.061","388.800","30","2.343.583","213.841","19.521.426"
"18/01/2016","EB-006","12.229","604.800","43","3.944.720","380.848","58.116.558"
"18/01/2016","EB-009","57.739","345.600","61","9.623.148","889.574","182.128.368"
"18/01/2016","EB-010","7.925","729.216","29","2.264.195","399.131","19.562.173"
"19/01/2016","EB-004","3.969","388.800","30","2.334.412","180.120","19.308.777"
"19/01/2016","EB-006","5.903","518.400","43","3.935.427","288.121","57.880.376"
"19/01/2016","EB-009","16.381","155.520","61","9.635.892","560.888","182.517.355"
"19/01/2016","EB-010","2.694","705.888","28","2.245.302","393.106","19.246.697"
"20/01/2016","EB-004","2.093","388.800","30","2.325.241","178.245","19.096.129"
"20/01/2016","EB-006","1.963","604.800","43","3.926.134","370.582","57.644.195"
"20/01/2016","EB-009","8.690","129.600","61","9.655.008","721.772","183.100.837"
"20/01/2016","EB-010","892","660.960","28","2.229.108","391.444","18.976.289"
"21/01/2016","EB-004","5.329","388.800","30","2.317.090","205.108","18.907.108"
"21/01/2016","EB-006","6.262","604.800","43","3.913.743","296.153","57.329.286"
"21/01/2016","EB-009","22.250","129.600","61","9.674.124","735.332","183.684.319"
"21/01/2016","EB-010","4.197","728.352","28","2.208.865","394.539","18.638.279"
"22/01/2016","EB-004","2.770","362.880","30","2.308.602","179.856","18.721.314"
"22/01/2016","EB-006","3.903","604.800","43","3.902.902","333.158","57.053.741"
"22/01/2016","EB-009","11.632","129.600","61","9.693.240","724.713","184.267.800"
"22/01/2016","EB-010","2.611","851.904","28","2.176.078","367.063","18.150.827"
"23/01/2016","EB-004","2.298","388.800","30","2.298.421","188.130","18.518.346"
"23/01/2016","EB-006","5.447","587.520","43","3.890.511","278.059","56.738.833"
"23/01/2016","EB-009","9.709","146.880","61","9.709.170","642.824","184.754.035"
"23/01/2016","EB-010","2.775","829.440","28","2.134.729","393.846","17.712.458"
"24/01/2016","EB-004","4.348","371.520","30","2.288.241","172.900","18.315.378"
"24/01/2016","EB-006","5.038","596.160","43","3.875.022","207.562","56.345.197"
"24/01/2016","EB-009","18.478","146.880","62","9.725.100","651.593","185.240.270"
"24/01/2016","EB-010","2.510","832.896","28","2.091.411","376.161","17.253.213"
"25/01/2016","EB-004","1.822","371.520","30","2.278.061","170.374","18.112.410"
"25/01/2016","EB-006","6.178","604.800","43","3.861.083","256.706","55.990.925"
"25/01/2016","EB-009","7.795","146.880","62","9.744.216","738.156","185.823.751"
"25/01/2016","EB-010","4.301","833.760","27","2.048.094","378.817","16.793.969"
"26/01/2016","EB-004","0","402.624","30","2.267.880","199.656","17.909.442"
"26/01/2016","EB-006","1.155","587.520","43","3.848.965","284.429","55.686.679"
"26/01/2016","EB-009","0","146.880","62","9.760.146","633.115","186.309.986"
"26/01/2016","EB-010","1.002","864.000","27","2.004.776","405.758","16.334.725"
"27/01/2016","EB-004","1.805","388.800","30","2.256.569","165.085","17.683.922"
"27/01/2016","EB-006","2.685","596.160","42","3.835.377","258.283","55.346.117"
"27/01/2016","EB-009","2.933","146.880","62","9.776.076","636.047","186.796.220"
"27/01/2016","EB-010","590","844.128","27","1.965.195","391.281","15.881.288"
"28/01/2016","EB-004","4.268","388.800","29","2.246.388","190.099","17.480.953"
"28/01/2016","EB-006","4.588","604.800","42","3.823.299","306.667","55.043.396"
"28/01/2016","EB-009","18.611","129.600","62","9.795.192","731.693","187.379.702"
"28/01/2016","EB-010","2.891","848.448","27","1.927.068","393.037","15.422.986"
"29/01/2016","EB-004","2.459","388.800","29","2.235.077","165.739","17.255.433"
"29/01/2016","EB-006","1.146","587.520","42","3.818.769","475.145","54.929.875"
"29/01/2016","EB-009","10.792","146.880","62","9.811.122","643.907","187.865.937"
"29/01/2016","EB-010","567","848.448","26","1.888.942","390.712","14.964.683"
"30/01/2016","EB-004","4.672","388.800","29","2.224.896","190.504","17.052.465"
"30/01/2016","EB-006","6.471","604.800","42","3.806.691","308.549","54.627.153"
"30/01/2016","EB-009","20.643","129.600","62","9.830.238","733.724","188.449.418"
"30/01/2016","EB-010","2.776","848.448","26","1.850.815","392.922","14.506.381"
"31/01/2016","EB-004","7.973","388.800","29","2.214.716","193.805","16.849.497"
"31/01/2016","EB-006","8.345","507.168","42","3.793.103","174.951","54.286.591"
"31/01/2016","EB-009","35.435","155.520","62","9.842.982","579.943","188.838.406"
"31/01/2016","EB-010","6.164","868.320","26","1.812.875","396.960","14.028.857"
"01/02/2016","EB-004","4.627","388.800","29","2.203.405","167.907","16.623.977"
"01/02/2016","EB-006","5.674","604.800","42","3.782.534","345.593","54.021.710"
"01/02/2016","EB-009","20.670","721.800","62","9.842.982","742.470","188.838.406"
"01/02/2016","EB-010","3.991","373.248","26","1.814.204","394.876","14.046.494"
"02/02/2016","EB-004","4.382","388.800","29","2.191.184","152.917","16.383.712"
"02/02/2016","EB-006","6.035","604.800","42","3.771.966","345.953","53.756.828"
"02/02/2016","EB-009","19.692","579.600","62","9.846.168","696.539","188.935.653"
"02/02/2016","EB-010","3.997","355.968","26","1.816.864","395.238","14.081.767"
"03/02/2016","EB-004","7.409","388.800","29","2.179.092","160.404","16.147.907"
"03/02/2016","EB-006","3.757","604.800","42","3.756.868","230.155","53.378.426"
"03/02/2016","EB-009","33.499","457.920","62","9.852.540","685.913","189.130.147"
"03/02/2016","EB-010","3.457","356.832","26","1.819.524","395.562","14.117.040"
"04/02/2016","EB-004","5.854","388.800","29","2.168.098","180.286","15.933.539"
"04/02/2016","EB-006","4.866","561.600","42","3.743.279","225.904","53.037.864"
"04/02/2016","EB-009","26.619","406.080","62","9.858.912","627.193","189.324.641"
"04/02/2016","EB-010","3.827","356.832","26","1.822.184","395.933","14.152.314"
"05/02/2016","EB-004","2.156","345.600","29","2.156.005","111.952","15.697.735"
"05/02/2016","EB-006","3.731","388.800","42","3.731.201","89.809","52.735.142"
"05/02/2016","EB-009","18.738","388.800","62","9.862.098","504.784","189.421.887"
"05/02/2016","EB-010","2.735","372.384","26","1.823.514","392.756","14.169.951"
"06/02/2016","EB-004","7.504","380.160","29","2.143.912","151.860","15.461.931"
"06/02/2016","EB-006","13.059","345.600","42","3.731.201","358.659","52.735.142"
"06/02/2016","EB-009","34.517","388.800","62","9.862.098","423.317","189.421.887"
"06/02/2016","EB-010","3.282","381.888","26","1.823.514","385.170","14.169.951"
"07/02/2016","EB-004","11.731","371.520","28","2.132.918","168.883","15.247.563"
"07/02/2016","EB-006","14.913","345.600","42","3.728.181","284.833","52.659.462"
"07/02/2016","EB-009","54.259","388.800","62","9.865.284","540.306","189.519.134"
"07/02/2016","EB-010","6.200","373.248","26","1.823.514","379.448","14.169.951"
"08/02/2016","EB-004","9.549","345.600","28","2.121.925","140.781","15.033.195"
"08/02/2016","EB-006","14.167","293.760","42","3.728.181","307.927","52.659.462"
"08/02/2016","EB-009","44.379","414.720","62","9.862.098","361.852","189.421.887"
"08/02/2016","EB-010","5.645","382.752","26","1.820.854","353.123","14.134.677"
"09/02/2016","EB-004","14.565","371.520","28","2.110.931","171.717","14.818.827"
"09/02/2016","EB-006","12.676","276.480","42","3.728.181","289.156","52.659.462"
"09/02/2016","EB-009","67.983","587.520","62","9.852.540","363.763","189.130.147"
"09/02/2016","EB-010","10.219","319.680","26","1.824.843","382.809","14.187.587"
"10/02/2016","EB-004","13.020","362.880","28","2.099.938","161.533","14.604.460"
"10/02/2016","EB-006","9.701","336.960","42","3.731.201","422.341","52.735.142"
"10/02/2016","EB-009","61.046","561.600","62","9.846.168","428.152","188.935.653"
"10/02/2016","EB-010","8.942","364.608","26","1.824.843","373.550","14.187.587"
"11/02/2016","EB-004","14.847","397.440","28","2.091.143","240.793","14.432.966"
"11/02/2016","EB-006","13.839","336.960","42","3.740.260","577.841","52.962.184"
"11/02/2016","EB-009","69.863","570.240","62","9.839.796","445.609","188.741.159"
"11/02/2016","EB-010","9.510","345.600","26","1.828.833","408.020","14.240.497"
"12/02/2016","EB-004","15.822","362.016","28","2.081.785","234.118","14.289.246"
"12/02/2016","EB-006","9.748","267.840","42","3.749.319","504.629","53.189.225"
"12/02/2016","EB-009","74.613","967.680","62","9.817.494","361.564","188.060.430"
"12/02/2016","EB-010","9.700","345.600","26","1.830.163","372.937","14.258.134"
"13/02/2016","EB-004","17.704","389.232","28","2.107.633","872.207","14.754.517"
"13/02/2016","EB-006","11.759","345.600","42","3.793.103","1.454.725","54.286.591"
"13/02/2016","EB-009","82.306","993.600","62","9.798.378","492.425","187.476.949"
"13/02/2016","EB-010","10.633","354.240","26","1.833.340","403.065","14.296.326"
"14/02/2016","EB-004","10.731","388.800","29","2.190.085","2.007.289","16.362.275"
"14/02/2016","EB-006","9.730","345.600","43","3.892.060","2.846.935","56.778.196"
"14/02/2016","EB-009","47.965","756.000","62","9.788.820","512.224","187.185.208"
"14/02/2016","EB-010","5.877","352.512","26","1.836.517","396.581","14.334.518"
"15/02/2016","EB-004","12.326","400.896","29","2.201.142","629.820","16.578.873"
"15/02/2016","EB-006","11.076","336.960","43","3.955.562","1.961.943","58.392.103"
"15/02/2016","EB-009","54.746","760.320","62","9.776.076","426.078","186.796.220"
"15/02/2016","EB-010","7.181","345.600","26","1.841.283","410.069","14.391.806"
"16/02/2016","EB-004","8.153","388.800","29","2.203.405","442.057","16.623.977"
"16/02/2016","EB-006","7.998","345.600","44","3.998.930","1.455.778","59.494.283"
"16/02/2016","EB-009","36.136","734.400","62","9.766.518","478.796","186.504.480"
"16/02/2016","EB-010","4.242","351.648","26","1.844.460","394.081","14.429.997"
"17/02/2016","EB-004","8.369","388.800","29","2.202.273","374.617","16.601.425"
"17/02/2016","EB-006","13.685","345.600","44","4.025.015","1.039.313","60.174.311"
"17/02/2016","EB-009","37.076","734.400","62","9.756.960","479.735","186.212.739"
"17/02/2016","EB-010","5.723","371.520","26","1.846.049","396.339","14.449.093"
"18/02/2016","EB-004","3.740","388.800","29","2.200.011","347.436","16.556.321"
"18/02/2016","EB-006","4.045","319.680","44","4.044.695","855.595","60.706.181"
"18/02/2016","EB-009","16.565","743.040","62","9.744.216","370.617","185.823.751"
"18/02/2016","EB-010","2.959","352.512","26","1.849.226","393.663","14.487.285"
"19/02/2016","EB-004","2.429","401.760","29","2.207.929","562.053","16.714.185"
"19/02/2016","EB-006","2.033","241.920","44","4.065.888","816.737","61.278.965"
"19/02/2016","EB-009","10.701","760.320","62","9.728.286","284.786","185.337.516"
"19/02/2016","EB-010","1.854","345.600","26","1.853.992","404.742","14.544.573"
"20/02/2016","EB-004","4.691","388.800","29","2.233.946","912.187","17.232.881"
"20/02/2016","EB-006","4.078","345.600","44","4.077.999","676.983","61.606.270"
"20/02/2016","EB-009","20.403","760.320","61","9.715.542","391.736","184.948.529"
"20/02/2016","EB-010","3.529","351.648","26","1.857.169","393.369","14.582.765"
"21/02/2016","EB-004","4.313","401.760","30","2.270.142","1.127.738","17.954.546"
"21/02/2016","EB-006","4.908","319.680","44","4.090.110","651.893","61.933.575"
"21/02/2016","EB-009","18.435","751.680","61","9.702.798","381.127","184.559.541"
"21/02/2016","EB-010","2.607","346.464","26","1.861.935","406.359","14.640.053"
"22/02/2016","EB-004","11.733","629.100","30","2.300.684","1.249.737","18.563.450"
"22/02/2016","EB-006","12.316","328.320","44","4.105.248","749.767","62.342.706"
"22/02/2016","EB-009","49.419","747.360","61","9.690.054","407.791","184.170.553"
"22/02/2016","EB-010","6.578","420.768","26","1.879.410","637.401","14.850.108"
"23/02/2016","EB-004","11.171","673.920","30","2.327.279","1.265.025","19.143.384"
"23/02/2016","EB-006","11.923","328.320","44","4.111.303","503.895","62.506.358"
"23/02/2016","EB-009","46.451","751.680","61","9.677.310","409.144","183.781.566"
"23/02/2016","EB-010","6.101","350.784","26","1.906.416","681.516","15.174.739"
"24/02/2016","EB-004","9.882","673.920","30","2.352.753","1.274.492","19.734.074"
"24/02/2016","EB-006","10.705","345.600","44","4.117.358","519.957","62.670.010"
"24/02/2016","EB-009","40.618","619.200","61","9.670.938","465.324","183.587.072"
"24/02/2016","EB-010","5.989","369.792","27","1.931.834","681.316","15.480.274"
"25/02/2016","EB-004","9.509","648.000","31","2.377.208","1.224.571","20.301.136"
"25/02/2016","EB-006","11.150","345.600","44","4.129.469","684.055","62.997.315"
"25/02/2016","EB-009","38.671","561.600","61","9.667.752","503.024","183.489.825"
"25/02/2016","EB-010","4.686","401.760","27","1.952.486","654.693","15.728.521"
"26/02/2016","EB-004","10.478","1.062.720","31","2.381.284","1.167.709","20.395.647"
"26/02/2016","EB-006","8.704","345.600","45","4.144.607","763.435","63.406.446"
"26/02/2016","EB-009","42.538","483.840","61","9.667.752","526.378","183.489.825"
"26/02/2016","EB-010","8.220","1.007.424","27","1.957.252","1.072.931","15.785.808"
"27/02/2016","EB-004","14.989","1.252.800","31","2.379.246","1.220.534","20.348.392"
"27/02/2016","EB-006","5.813","345.600","45","4.152.177","555.979","63.611.012"
"27/02/2016","EB-009","60.987","129.600","61","9.680.496","579.574","183.878.812"
"27/02/2016","EB-010","7.848","1.196.640","27","1.962.018","1.261.776","15.843.096"
"28/02/2016","EB-004","14.551","1.271.808","31","2.385.360","1.428.124","20.490.157"
"28/02/2016","EB-006","8.323","336.960","45","4.161.260","590.762","63.856.491"
"28/02/2016","EB-009","59.090","190.080","61","9.686.868","443.664","184.073.306"
"28/02/2016","EB-010","6.906","1.140.480","27","1.973.138","1.281.058","15.976.768"
"29/02/2016","EB-004","17.204","1.235.520","31","2.389.436","1.347.235","20.584.668"
"29/02/2016","EB-006","11.694","311.040","45","4.176.348","784.117","64.317.874"
"29/02/2016","EB-009","69.791","155.520","61","9.693.240","419.805","184.267.800"
"29/02/2016","EB-010","8.731","1.104.192","27","1.984.258","1.246.594","16.110.439"
"01/03/2016","EB-004","20.549","1.261.440","31","2.389.436","1.281.989","20.584.668"
"01/03/2016","EB-006","16.758","319.680","45","4.189.533","759.743","64.741.179"
"01/03/2016","EB-009","83.417","164.160","61","9.699.612","442.071","184.462.294"
"01/03/2016","EB-010","11.238","1.017.792","27","2.006.745","1.274.191","16.355.600"
"02/03/2016","EB-004","19.384","1.270.080","31","2.363.962","698.774","19.993.978"
"02/03/2016","EB-006","18.469","324.000","45","4.197.443","596.452","64.995.162"
"02/03/2016","EB-009","79.589","155.520","61","9.705.984","429.603","184.656.788"
"02/03/2016","EB-010","10.466","1.209.600","27","2.012.652","1.282.690","16.418.224"
"03/03/2016","EB-004","15.127","1.278.720","30","2.327.279","443.253","19.143.384"
"03/03/2016","EB-006","14.742","324.000","45","4.211.946","804.377","65.460.797"
"03/03/2016","EB-009","63.130","164.160","61","9.712.356","421.784","184.851.282"
"03/03/2016","EB-010","9.580","1.009.152","27","2.038.249","1.290.104","16.689.596"
"04/03/2016","EB-004","17.373","1.271.808","30","2.285.979","416.071","18.270.274"
"04/03/2016","EB-006","21.991","311.040","45","4.229.086","883.327","66.011.093"
"04/03/2016","EB-009","73.862","155.520","61","9.718.728","423.876","185.045.776"
"04/03/2016","EB-010","10.619","1.231.200","27","2.042.187","1.283.568","16.731.345"
"05/03/2016","EB-004","12.324","1.291.680","29","2.240.733","401.923","17.368.193"
"05/03/2016","EB-006","12.727","345.600","45","4.242.270","781.632","66.434.398"
"05/03/2016","EB-009","53.506","129.600","62","9.728.286","474.846","185.337.516"
"05/03/2016","EB-010","6.791","1.127.520","27","2.057.939","1.301.309","16.898.343"
"06/03/2016","EB-004","10.769","1.235.520","29","2.197.781","390.428","16.512.332"
"06/03/2016","EB-006","14.926","345.600","45","4.264.683","1.080.144","67.154.016"
"06/03/2016","EB-009","47.715","138.240","62","9.737.844","477.696","185.629.257"
"06/03/2016","EB-010","6.144","1.340.928","27","2.048.094","1.242.698","16.793.969"
"07/03/2016","EB-004","5.597","1.270.080","29","2.152.707","396.770","15.633.425"
"07/03/2016","EB-006","6.851","345.600","46","4.281.823","902.747","67.704.312"
"07/03/2016","EB-009","25.343","138.240","62","9.747.402","455.324","185.920.998"
"07/03/2016","EB-010","2.465","1.209.600","27","2.054.001","1.274.689","16.856.593"
"08/03/2016","EB-004","0","1.252.800","28","2.105.434","331.019","14.711.644"
"08/03/2016","EB-006","10.311","345.600","46","4.296.326","821.547","68.169.948"
"08/03/2016","EB-009","49.760","138.240","62","9.756.960","479.741","186.212.739"
"08/03/2016","EB-010","5.330","1.296.864","27","2.050.063","1.260.445","16.814.844"
"09/03/2016","EB-004","0","1.124.928","28","2.057.444","359.652","13.946.368"
"09/03/2016","EB-006","12.490","311.040","46","4.306.835","671.204","68.517.622"
"09/03/2016","EB-009","63.462","155.520","62","9.763.332","413.476","186.407.233"
"09/03/2016","EB-010","7.338","1.252.800","27","2.038.249","1.134.890","16.689.596"
"10/03/2016","EB-004","11.393","1.123.200","27","1.998.739","307.652","13.119.427"
"10/03/2016","EB-006","10.358","362.880","46","4.316.025","678.582","68.822.966"
"10/03/2016","EB-009","55.705","120.960","62","9.772.890","468.405","186.698.973"
"10/03/2016","EB-010","6.687","1.251.072","27","2.026.435","1.132.510","16.564.347"
"11/03/2016","EB-004","7.758","1.105.920","27","1.939.425","292.775","12.298.524"
"11/03/2016","EB-006","9.948","345.600","46","4.325.216","660.892","69.128.310"
"11/03/2016","EB-009","39.130","138.240","62","9.782.448","469.111","186.990.714"
"11/03/2016","EB-010","5.243","1.212.192","27","2.016.590","1.113.061","16.459.973"
"12/03/2016","EB-004","6.577","1.002.240","27","1.879.222","299.741","11.589.448"
"12/03/2016","EB-006","11.283","345.600","46","4.339.659","836.710","69.608.137"
"12/03/2016","EB-009","34.272","138.240","62","9.792.006","464.253","187.282.455"
"12/03/2016","EB-010","6.384","1.233.792","27","1.994.931","1.010.554","16.230.351"
"13/03/2016","EB-004","6.719","967.680","26","1.815.850","228.005","10.843.054"
"13/03/2016","EB-006","12.615","345.600","46","4.350.162","707.179","69.957.101"
"13/03/2016","EB-009","36.266","138.240","62","9.801.564","466.247","187.574.196"
"13/03/2016","EB-010","6.923","1.166.400","27","1.977.904","977.027","16.034.055"
"14/03/2016","EB-004","5.334","777.600","26","1.778.136","344.449","10.404.569"
"14/03/2016","EB-006","8.732","328.320","46","4.365.918","860.499","70.480.548"
"14/03/2016","EB-009","29.395","483.840","62","9.798.378","415.988","187.476.949"
"14/03/2016","EB-010","4.982","604.800","27","1.992.962","785.203","16.209.476"
"15/03/2016","EB-004","8.045","665.280","26","1.749.011","348.403","10.079.647"
"15/03/2016","EB-006","15.327","259.200","46","4.379.048","710.733","70.916.754"
"15/03/2016","EB-009","45.043","492.480","62","9.792.006","343.029","187.282.455"
"15/03/2016","EB-010","6.763","708.480","27","1.989.024","673.494","16.167.727"
"16/03/2016","EB-004","8.756","643.680","26","1.716.820","293.312","9.720.523"
"16/03/2016","EB-006","18.436","345.600","46","4.389.551","713.001","71.265.719"
"16/03/2016","EB-009","49.923","492.480","62","9.788.820","445.156","187.185.208"
"16/03/2016","EB-010","7.912","779.328","27","1.977.904","653.568","16.034.055"
"17/03/2016","EB-004","5.891","639.360","25","1.683.096","269.025","9.344.297"
"17/03/2016","EB-006","14.956","345.600","46","4.398.742","665.900","71.571.063"
"17/03/2016","EB-009","34.250","492.480","62","9.785.634","429.483","187.087.961"
"17/03/2016","EB-010","5.503","794.880","27","1.965.195","647.616","15.881.288"
