"Fecha medida","Código","Nivel medio diario (m)"
"20/01/2015","EA-001","0,48"
"20/01/2015","EA-007",""
"20/01/2015","EA-013-TOT",""
"20/01/2015","EA-021-PR","0,11"
"20/01/2015","EA-062-TOT",""
"20/01/2015","EA-063-PR","0,08"
"20/01/2015","EA-112-TOT",""
"20/01/2015","EA-117-TOT",""
"20/01/2015","EA-430B",""
"21/01/2015","EA-001","0,47"
"21/01/2015","EA-007",""
"21/01/2015","EA-013-TOT",""
"21/01/2015","EA-021-PR","0,10"
"21/01/2015","EA-062-TOT",""
"21/01/2015","EA-063-PR","0,06"
"21/01/2015","EA-112-TOT",""
"21/01/2015","EA-117-TOT",""
"21/01/2015","EA-430B",""
"22/01/2015","EA-001","0,48"
"22/01/2015","EA-007",""
"22/01/2015","EA-013-TOT",""
"22/01/2015","EA-021-PR","0,11"
"22/01/2015","EA-062-TOT",""
"22/01/2015","EA-063-PR","0,08"
"22/01/2015","EA-112-TOT",""
"22/01/2015","EA-117-TOT",""
"22/01/2015","EA-430B",""
"23/01/2015","EA-001","0,48"
"23/01/2015","EA-007",""
"23/01/2015","EA-013-TOT",""
"23/01/2015","EA-021-PR","0,12"
"23/01/2015","EA-062-TOT",""
"23/01/2015","EA-063-PR","0,08"
"23/01/2015","EA-112-TOT",""
"23/01/2015","EA-117-TOT",""
"23/01/2015","EA-430B",""
"24/01/2015","EA-001","0,47"
"24/01/2015","EA-007",""
"24/01/2015","EA-013-TOT",""
"24/01/2015","EA-021-PR","0,10"
"24/01/2015","EA-062-TOT",""
"24/01/2015","EA-063-PR","0,05"
"24/01/2015","EA-112-TOT",""
"24/01/2015","EA-117-TOT",""
"24/01/2015","EA-430B",""
"25/01/2015","EA-001","0,48"
"25/01/2015","EA-007",""
"25/01/2015","EA-013-TOT",""
"25/01/2015","EA-021-PR","0,04"
"25/01/2015","EA-062-TOT",""
"25/01/2015","EA-063-PR","0,02"
"25/01/2015","EA-112-TOT",""
"25/01/2015","EA-117-TOT",""
"25/01/2015","EA-430B",""
"26/01/2015","EA-001","0,48"
"26/01/2015","EA-007",""
"26/01/2015","EA-013-TOT",""
"26/01/2015","EA-021-PR","0,07"
"26/01/2015","EA-062-TOT",""
"26/01/2015","EA-063-PR","0,09"
"26/01/2015","EA-112-TOT",""
"26/01/2015","EA-117-TOT",""
"26/01/2015","EA-430B",""
"27/01/2015","EA-001","0,48"
"27/01/2015","EA-007",""
"27/01/2015","EA-013-TOT",""
"27/01/2015","EA-021-PR","0,09"
"27/01/2015","EA-062-TOT",""
"27/01/2015","EA-063-PR","0,14"
"27/01/2015","EA-112-TOT",""
"27/01/2015","EA-117-TOT",""
"27/01/2015","EA-430B",""
"28/01/2015","EA-001","0,35"
"28/01/2015","EA-007",""
"28/01/2015","EA-013-TOT",""
"28/01/2015","EA-021-PR","0,11"
"28/01/2015","EA-062-TOT",""
"28/01/2015","EA-063-PR","0,13"
"28/01/2015","EA-112-TOT",""
"28/01/2015","EA-117-TOT",""
"28/01/2015","EA-430B",""
"29/01/2015","EA-001","0,38"
"29/01/2015","EA-007",""
"29/01/2015","EA-013-TOT",""
"29/01/2015","EA-021-PR","0,13"
"29/01/2015","EA-062-TOT",""
"29/01/2015","EA-063-PR","0,17"
"29/01/2015","EA-112-TOT",""
"29/01/2015","EA-117-TOT",""
"29/01/2015","EA-430B",""
"30/01/2015","EA-001","0,47"
"30/01/2015","EA-007",""
"30/01/2015","EA-013-TOT",""
"30/01/2015","EA-021-PR","0,11"
"30/01/2015","EA-062-TOT",""
"30/01/2015","EA-063-PR","0,18"
"30/01/2015","EA-112-TOT",""
"30/01/2015","EA-117-TOT",""
"30/01/2015","EA-430B",""
"31/01/2015","EA-112-TOT",""
"31/01/2015","EA-117-TOT",""
"31/01/2015","EA-430B",""
"31/01/2015","EA-001","0,48"
"31/01/2015","EA-007",""
"31/01/2015","EA-013-TOT",""
"31/01/2015","EA-021-PR","0,12"
"31/01/2015","EA-062-TOT",""
"31/01/2015","EA-063-PR","0,20"
"01/02/2015","EA-001","0,48"
"01/02/2015","EA-007",""
"01/02/2015","EA-013-TOT",""
"01/02/2015","EA-021-PR","0,13"
"01/02/2015","EA-062-TOT",""
"01/02/2015","EA-063-PR","0,13"
"01/02/2015","EA-112-TOT",""
"01/02/2015","EA-117-TOT",""
"01/02/2015","EA-430B",""
"02/02/2015","EA-001","0,48"
"02/02/2015","EA-007",""
"02/02/2015","EA-013-TOT",""
"02/02/2015","EA-021-PR","0,09"
"02/02/2015","EA-062-TOT",""
"02/02/2015","EA-063-PR","0,05"
"02/02/2015","EA-112-TOT",""
"02/02/2015","EA-117-TOT",""
"02/02/2015","EA-430B",""
"03/02/2015","EA-001","0,48"
"03/02/2015","EA-007",""
"03/02/2015","EA-013-TOT",""
"03/02/2015","EA-021-PR","0,06"
"03/02/2015","EA-062-TOT",""
"03/02/2015","EA-063-PR","0,00"
"03/02/2015","EA-112-TOT",""
"03/02/2015","EA-117-TOT",""
"03/02/2015","EA-430B",""
"04/02/2015","EA-001","0,48"
"04/02/2015","EA-007",""
"04/02/2015","EA-013-TOT",""
"04/02/2015","EA-021-PR","0,10"
"04/02/2015","EA-062-TOT",""
"04/02/2015","EA-063-PR","0,06"
"04/02/2015","EA-112-TOT",""
"04/02/2015","EA-117-TOT",""
"04/02/2015","EA-430B",""
"05/02/2015","EA-001","0,48"
"05/02/2015","EA-007",""
"05/02/2015","EA-013-TOT",""
"05/02/2015","EA-021-PR","0,10"
"05/02/2015","EA-062-TOT",""
"05/02/2015","EA-063-PR","0,04"
"05/02/2015","EA-112-TOT",""
"05/02/2015","EA-117-TOT",""
"05/02/2015","EA-430B",""
"06/02/2015","EA-001","0,48"
"06/02/2015","EA-007",""
"06/02/2015","EA-013-TOT",""
"06/02/2015","EA-021-PR","0,09"
"06/02/2015","EA-062-TOT",""
"06/02/2015","EA-063-PR","0,01"
"06/02/2015","EA-112-TOT",""
"06/02/2015","EA-117-TOT",""
"06/02/2015","EA-430B",""
"07/02/2015","EA-001","0,48"
"07/02/2015","EA-007",""
"07/02/2015","EA-013-TOT",""
"07/02/2015","EA-021-PR","0,09"
"07/02/2015","EA-062-TOT",""
"07/02/2015","EA-063-PR","0,00"
"07/02/2015","EA-112-TOT",""
"07/02/2015","EA-117-TOT",""
"07/02/2015","EA-430B",""
"08/02/2015","EA-001","0,48"
"08/02/2015","EA-007",""
"08/02/2015","EA-013-TOT",""
"08/02/2015","EA-021-PR","0,10"
"08/02/2015","EA-062-TOT",""
"08/02/2015","EA-063-PR","0,00"
"08/02/2015","EA-112-TOT",""
"08/02/2015","EA-117-TOT",""
"08/02/2015","EA-430B",""
"09/02/2015","EA-001","0,48"
"09/02/2015","EA-007",""
"09/02/2015","EA-013-TOT",""
"09/02/2015","EA-021-PR","0,12"
"09/02/2015","EA-062-TOT",""
"09/02/2015","EA-063-PR","0,00"
"09/02/2015","EA-112-TOT",""
"09/02/2015","EA-117-TOT",""
"09/02/2015","EA-430B",""
"10/02/2015","EA-001","0,48"
"10/02/2015","EA-007",""
"10/02/2015","EA-013-TOT",""
"10/02/2015","EA-021-PR","0,16"
"10/02/2015","EA-062-TOT",""
"10/02/2015","EA-063-PR","0,01"
"10/02/2015","EA-112-TOT",""
"10/02/2015","EA-117-TOT",""
"10/02/2015","EA-430B",""
"11/02/2015","EA-001","0,48"
"11/02/2015","EA-007",""
"11/02/2015","EA-013-TOT",""
"11/02/2015","EA-021-PR","0,15"
"11/02/2015","EA-062-TOT",""
"11/02/2015","EA-063-PR","0,03"
"11/02/2015","EA-112-TOT",""
"11/02/2015","EA-117-TOT",""
"11/02/2015","EA-430B",""
"12/02/2015","EA-001","0,48"
"12/02/2015","EA-007",""
"12/02/2015","EA-013-TOT",""
"12/02/2015","EA-021-PR","0,21"
"12/02/2015","EA-062-TOT",""
"12/02/2015","EA-063-PR","0,19"
"12/02/2015","EA-112-TOT",""
"12/02/2015","EA-117-TOT",""
"12/02/2015","EA-430B",""
"13/02/2015","EA-001","0,48"
"13/02/2015","EA-007",""
"13/02/2015","EA-013-TOT",""
"13/02/2015","EA-021-PR","0,18"
"13/02/2015","EA-062-TOT",""
"13/02/2015","EA-063-PR","0,00"
"13/02/2015","EA-112-TOT",""
"13/02/2015","EA-117-TOT",""
"13/02/2015","EA-430B",""
"14/02/2015","EA-001","0,48"
"14/02/2015","EA-007",""
"14/02/2015","EA-013-TOT",""
"14/02/2015","EA-021-PR","0,10"
"14/02/2015","EA-062-TOT",""
"14/02/2015","EA-063-PR","0,00"
"14/02/2015","EA-112-TOT",""
"14/02/2015","EA-117-TOT",""
"14/02/2015","EA-430B",""
"15/02/2015","EA-001","0,48"
"15/02/2015","EA-007",""
"15/02/2015","EA-013-TOT",""
