fecha,nombre_estacion,tm_min,tm_max,tm_mes,ta_min,ta_max,p_mes,p_max,q_min,q_max,q_med,q_mar,hr,w_med,w_racha,w_rec
2016-01-01,Cartagena,,,,,,,,,,,,,,,
2017-01-01,Cartagena,13.2,23.3,18.3,-0.1,35.7,172.8,49.8(18/ene),987.4,1030.4,1011.5,1018.0,66.0,10.0,19/26.4(11/dic),189
2018-01-01,Cartagena,13.3,22.9,18.1,1.3,34.5,246.0,19.6(18/nov),983.7,1027.6,1008.7,1015.2,66.0,10.0,20/23.1(01/mar),198
2019-01-01,Cartagena,12.9,23.1,18.0,-0.7,36.5,462.4,140.4(12/sep),988.6,1027.2,1009.8,1016.2,66.0,10.0,20/26.4(20/dic),195
2020-01-01,Cartagena,13.0,23.3,18.2,-0.9,34.9,394.2,101.6(23/mar),987.8,1028.2,1010.7,1017.2,70.0,9.0,18/22.5(02/mar),178
2021-01-01,Cartagena,13.5,23.0,18.3,-0.2,38.6,485.4,73.6(23/may),994.5,1028.7,1009.9,1016.4,,10.0,18/18.6(09/feb),194
2022-01-01,Cartagena,,,,,,440.0,56.8(25/sep),,,,,,,,
2023-01-01,Cartagena,13.4,24.1,18.8,0.1,37.5,201.8,82.4(22/may),,,,,,9.0,01/21.7(27/feb),178
2024-01-01,Cartagena,,,,,,158.0,32.4(30/dic),,,,,,,,
