indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,fecha,anio,mes,w_med,w_rec
7228,1.4,1.0,42.0,0.0,0.0,11.9,1017.0,1.0,1015.3,1006.7,17.8,39.2,23.4,24.0,0.0,9.0,17/16.1(11),0.0,20.0,81.0,0.0,2.0,14.4,144.0,0.0,0.0,3014.0,2.6,2.0,2.0,0.0,29.2,0.0,25.3,32.7,0.0,990.8,2.0,2016-06-01,2016,6,,
7228,0.3,2.0,46.0,0.0,0.0,11.2,1019.0,0.0,1016.7,1008.2,20.8,40.6,24.4,31.0,0.0,23.0,16/15.0(01),0.0,6.0,78.0,0.0,1.0,16.9,176.0,0.0,0.0,3110.0,0.3,1.0,1.0,0.0,30.0,0.0,27.6,34.4,0.0,1001.6,0.0,2016-07-01,2016,7,,
7228,2.7,1.0,52.0,0.0,0.0,11.1,1016.6,0.0,1017.9,1009.3,20.8,40.0,24.8,30.0,0.0,18.0,07/12.5(05),0.0,12.0,82.0,0.0,2.0,16.4,193.0,0.0,0.0,2441.0,2.9,3.0,0.0,0.0,29.0,0.0,27.2,33.6,0.0,1000.4,1.0,2016-08-01,2016,8,,
7228,7.7,1.0,54.0,0.0,0.0,8.9,1018.7,0.0,1017.9,1009.2,18.4,43.6,22.0,21.0,0.0,4.0,08/13.3(28),0.0,25.0,72.0,0.0,1.0,13.5,173.0,0.0,0.0,2159.0,7.7,5.0,0.0,0.0,27.1,0.0,25.4,32.4,0.0,1000.5,1.0,2016-09-01,2016,9,,
7228,22.3,10.0,70.0,1.0,1.0,6.4,1022.1,,1016.6,1007.8,15.7,32.0,19.8,6.0,0.0,5.0,,2.0,16.0,57.0,,6.0,8.7,176.0,0.0,0.0,1044.0,43.4,5.0,3.0,0.0,21.9,0.0,21.3,26.9,0.0,993.4,4.0,2016-10-01,2016,10,,
7228,7.4,6.0,66.0,0.0,0.0,6.2,1020.0,2.0,1016.4,1007.5,8.7,27.6,17.3,0.0,0.0,5.0,11/16.4(14),0.0,19.0,61.0,0.0,7.0,2.5,110.0,0.0,0.0,1095.0,25.5,7.0,2.0,0.0,13.8,0.0,14.7,20.6,0.0,993.6,5.0,2016-11-01,2016,11,,
7228,112.4,9.0,81.0,0.0,0.0,4.7,1028.9,1.0,1026.5,1017.4,7.7,19.4,12.9,0.0,0.0,8.0,10/17.5(17),4.0,14.0,49.0,0.0,12.0,2.7,117.0,3.0,0.0,489.0,257.3,12.0,1.0,0.0,12.0,0.0,12.1,16.5,0.0,1002.3,9.0,2016-12-01,2016,12,6,
7228,40.3,3.0,65.0,0.0,1.0,6.5,1023.0,6.0,1021.4,1012.2,4.0,21.3,9.5,0.0,0.0,9.0,34/19.7(16),2.0,19.0,66.0,0.0,5.0,-0.5,80.0,1.0,0.0,1066.0,56.8,6.0,0.0,1.0,3.4,1.0,9.8,15.6,0.0,1001.4,2.0,2017-01-01,2017,1,,223
7228,1.0,8.0,65.0,0.0,2.0,6.0,1023.9,3.0,1019.7,1010.7,7.3,23.1,12.6,0.0,0.0,1.0,34/21.7(05),0.0,19.0,56.0,0.0,5.0,1.8,100.0,0.0,1.0,1034.0,2.4,6.0,0.0,0.0,14.6,0.0,13.3,19.2,0.0,993.7,1.0,2017-02-01,2017,2,,215
7228,57.1,5.0,58.0,0.0,0.0,7.7,1020.0,3.0,1019.3,1010.4,7.8,33.3,13.2,3.0,0.0,8.0,30/18.1(03),1.0,18.0,64.0,0.0,5.0,3.0,100.0,1.0,0.0,1308.0,61.5,5.0,1.0,0.0,14.0,0.0,15.3,22.8,0.0,994.7,3.0,2017-03-01,2017,3,,199
7228,5.1,5.0,56.0,0.0,0.0,9.1,1019.1,1.0,1018.6,1009.8,10.2,32.8,14.7,3.0,0.0,5.0,12/15.6(20),0.0,20.0,70.0,0.0,3.0,5.4,110.0,0.0,0.0,1598.0,9.8,3.0,0.0,0.0,13.0,0.0,17.2,24.1,0.0,996.9,2.0,2017-04-01,2017,4,,204
7228,0.0,2.0,44.0,0.0,0.0,11.0,1018.9,0.0,1016.3,1007.6,13.7,34.0,17.2,6.0,0.0,7.0,17/13.3(31),0.0,22.0,77.0,0.0,0.0,9.5,118.0,0.0,0.0,2456.0,0.0,0.0,0.0,0.0,24.0,0.0,21.1,28.6,0.0,992.8,0.0,2017-05-01,2017,5,,226
7228,0.2,2.0,42.0,0.0,0.0,12.5,1012.6,1.0,1015.1,1006.6,19.2,41.0,24.2,28.0,0.0,14.0,02/21.1(28),0.0,14.0,85.0,0.0,1.0,15.6,155.0,0.0,0.0,3080.0,0.2,2.0,1.0,0.0,28.8,0.0,26.6,33.9,0.0,996.6,0.0,2017-06-01,2017,6,,255
7228,1.9,1.0,49.0,0.0,0.0,11.6,1014.6,2.0,1014.9,1006.4,21.0,40.0,24.8,30.0,0.0,21.0,17/18.1(17),0.0,9.0,80.0,0.0,1.0,15.5,196.0,0.0,0.0,2811.0,1.9,1.0,2.0,0.0,27.0,0.0,28.0,35.0,0.0,998.8,1.0,2017-07-01,2017,7,,244
7228,30.5,4.0,58.0,0.0,0.0,9.1,1013.3,1.0,1015.9,1007.4,22.0,40.5,26.6,28.0,0.0,5.0,25/18.6(07),1.0,22.0,67.0,0.0,4.0,18.4,220.0,1.0,0.0,2121.0,37.4,8.0,0.0,0.0,26.5,0.0,27.9,33.8,0.0,1000.4,2.0,2017-08-01,2017,8,,220
7228,2.5,4.0,58.0,0.0,1.0,9.0,1016.0,0.0,1017.0,1008.4,18.1,37.0,21.9,19.0,0.0,8.0,12/13.3(15),0.0,18.0,72.0,0.0,1.0,14.8,176.0,0.0,0.0,1776.0,2.5,2.0,1.0,0.0,26.5,0.0,24.7,31.2,0.0,994.9,1.0,2017-09-01,2017,9,,194
7228,15.5,1.0,65.0,0.0,0.0,8.3,1019.4,1.0,1021.7,1012.9,14.5,33.2,18.5,5.0,0.0,10.0,35/21.7(18),1.0,20.0,74.0,0.0,2.0,8.6,162.0,0.0,0.0,1249.0,16.4,2.0,1.0,0.0,23.4,0.0,21.2,27.9,0.0,1002.0,1.0,2017-10-01,2017,10,,150
7228,2.9,4.0,60.0,0.0,1.0,7.4,1021.8,1.0,1019.6,1010.6,7.2,25.6,14.0,0.0,0.0,10.0,20/16.1(13),0.0,16.0,73.0,0.0,5.0,1.8,98.0,0.0,1.0,1125.0,7.8,5.0,0.0,0.0,14.0,0.0,14.0,20.8,0.0,996.6,3.0,2017-11-01,2017,11,,161
7228,3.1,1.0,58.0,0.0,0.0,7.0,1029.1,5.0,1024.3,1015.2,3.3,23.0,9.4,0.0,0.0,9.0,01/20.6(01),0.0,21.0,73.0,0.0,1.0,-3.8,77.0,0.0,0.0,1154.0,3.1,2.0,0.0,5.0,13.5,0.0,10.4,17.5,0.0,985.7,1.0,2017-12-01,2017,12,,186
7228,34.0,3.0,63.0,0.0,1.0,6.8,1026.8,2.0,1022.6,1013.5,5.4,24.6,11.4,0.0,0.0,9.0,35/20.0(11),2.0,19.0,69.0,0.0,8.0,-1.4,87.0,1.0,1.0,1004.0,57.7,9.0,1.0,2.0,13.5,0.0,11.6,17.9,0.0,986.6,6.0,2018-01-01,2018,1,,182
7228,8.4,4.0,60.0,0.0,0.0,7.2,1016.1,0.0,1013.9,1004.9,4.7,23.1,10.5,0.0,0.0,7.0,35/15.0(10),0.0,17.0,66.0,0.0,5.0,-1.8,79.0,0.0,0.0,1062.0,11.6,5.0,0.0,1.0,11.6,0.0,10.7,16.6,0.0,988.1,2.0,2018-02-01,2018,2,,210
7228,5.4,4.0,45.0,0.0,0.0,6.8,1016.2,8.0,1009.4,1000.5,8.5,29.0,13.6,0.0,0.0,4.0,33/23.3(24),0.0,23.0,57.0,0.0,11.0,3.7,79.0,0.0,0.0,2096.0,11.4,14.0,0.0,0.0,16.0,0.0,14.8,21.2,0.0,981.5,3.0,2018-03-01,2018,3,,315
7228,7.5,7.0,47.0,0.0,0.0,8.9,1016.7,7.0,1013.6,1004.7,10.5,31.0,16.7,1.0,0.0,5.0,32/18.1(11),0.0,18.0,67.0,0.0,6.0,4.7,97.0,0.0,0.0,1997.0,14.1,7.0,0.0,0.0,19.6,0.0,17.2,23.9,0.0,988.2,3.0,2018-04-01,2018,4,,264
